A01:A_MAZE_ING|???: "У-ди-ви-тельно!"
S09:26A|Если вам удастся дойти до них, они перейдут под ваше руководство.
S09:27|Борис и Моралес прибыли из Вашингтона на тихоходном командном дирижабле Владимира.
S09:28|Задание: Захватите Президента Дугана.
S09:29|Борис погиб в бою - МИССИЯ ПРОВАЛЕНА
S09:30|Моралес погиб в бою - МИССИЯ ПРОВАЛЕНА
S09:31|Дракув был уничтожен - МИССИЯ ПРОВАЛЕНА
S09:32|Тяжелобронированный тюремный бронетранспортер Дракув поможет расправиться с пехотой.\nНе потеряйте его!
S09:33|Он может прятаться, но не может от нас убежать. Наши оперативники будут готовиться к операции захвата.
S09:34|МОРАЛЕС: "Мои люди - под вашим командованием, генерал. Давайте закончим с этим побыстрее"
S09:35|Американцы используют эту ЖД станцию для переброски войск.
S09:35A|Уничтожьте его, чтобы предотвратить подкрепление извне или захватите его чтобы получить помощь от китайцев.
S09:36|Железнодорожная станция теперь наша. Китайские подразделения уже в пути.
S09:37|Железнодорожная станция уничтожена. Теперь они не могут присылать подкрепления.
S09:38|Водитель ДРАКУВа: "С этим БМП что-то не так. Будьте начеку."
S09:39|ВНИМАНИЕ - Американцам стало известно о ваших действиях!
S09:40|Придется приступить к реализации плана Б.\nУдерживайте позиции, пока основная часть нашей армии не будет здесь.
S09:41|Наши основные силы прибыли. Настало время продвигаться вперед!
S09:42|Аванпост Конфедерации получил распоряжение оказывать вам помощь в продвижении вперед.
S09:43|Товарищ генерал к вам отправлены войска для оказания поддержки на поле боя.
S09:44|ВНИМАНИЕ - Американцы вводят войска из-за города!
S09:45|Командир, китайские отряды прибыли.
S09:46|DEPRECATED
S09:47|Превосходно, американские силы уничтожены, пора переходить к делу.
S09:48|Ваша операция в Париже дала отличное представление о том, как к этому подойти.
